Iteration	bike_travel	bike_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
243	23506	0	148445	0	33102	0	81380	21925	32230	0	0	0	112967	0
244	23508	0	148681	0	32746	0	81484	20414	32226	0	0	0	113108	0
245	23508	0	148702	0	32727	0	81485	20411	32218	0	0	0	113111	0
246	23508	0	148691	0	32695	0	81484	20408	32209	0	0	0	113113	0
247	23508	0	148708	0	32668	0	81483	20405	32205	0	0	0	113115	0
248	23508	0	148737	0	32648	0	81483	20405	32198	0	0	0	113115	0
249	23508	0	148748	0	32621	0	81484	20405	32194	0	0	0	113114	0
250	23508	0	148782	0	32608	0	81484	20403	32189	0	0	0	113115	0
251	23508	0	148825	0	32582	0	81484	20403	32184	0	0	0	113113	0
252	23508	0	148827	0	32566	0	81484	20402	32179	0	0	0	113115	0
253	23508	0	148840	0	32551	0	81484	20402	32174	0	0	0	113114	0
254	23508	0	148857	0	32545	0	81484	20403	32168	0	0	0	113114	0
255	23508	0	148919	0	32541	0	81484	20403	32164	0	0	0	113113	0
256	23508	0	148899	0	32525	0	81484	20401	32159	0	0	0	113114	0
257	23508	0	148973	0	32508	0	81483	20402	32155	0	0	0	113113	0
258	23508	0	149000	0	32491	0	81483	20404	32149	0	0	0	113113	0
259	23508	0	148993	0	32479	0	81482	20404	32143	0	0	0	113113	0
260	23508	0	149031	0	32473	0	81482	20406	32139	0	0	0	113113	0
261	23508	0	149014	0	32455	0	81482	20406	32134	0	0	0	113114	0
262	23508	0	149097	0	32452	0	81482	20407	32129	0	0	0	113113	0
263	23508	0	149165	0	32443	0	81482	20408	32122	0	0	0	113113	0
264	23508	0	149197	0	32436	0	81481	20406	32118	0	0	0	113112	0
265	23508	0	149219	0	32427	0	81480	20406	32111	0	0	0	113112	0
266	23508	0	149192	0	32416	0	81481	20406	32107	0	0	0	113112	0
267	23508	0	149091	0	32397	0	81481	20407	32105	0	0	0	113111	0
268	23508	0	149028	0	32392	0	81481	20408	32101	0	0	0	113111	0
269	23508	0	148980	0	32390	0	81481	20406	32096	0	0	0	113111	0
270	23508	0	148938	0	32386	0	81481	20407	32091	0	0	0	113110	0
